Date,Country,Event,Category,Dog distance (km),Elevation (m+),Dog access,Status,Notes,Primary source,Secondary source,Origin
2026-10-31,France,Trail du Calvaire,canitrail,12,,dedicated canitrail distance,source-confirmed 2026,Finishers shows Cani-Trail du Calvaire 12 km; official FFSLC calendar confirms the 31 October date.,https://courses.ffslc.fr/calendar,https://www.finishers.com/en/event/trail-du-calvaire,FFSLC + uploaded verification 2026-09-12
2026-11-01,UK,Lakeland Paws – Grizedale Growl West Side,canicross,10,250,dedicated canicross event,upcoming,"2026/27 series date confirmed for 1 Nov; West Side route offers 5 km and 10 km, with 10 km retained here.",https://lakelandpaws.com/events/,https://lakelandpaws.com/grizedale-growl/,web verification 2026-09-12
2026-11-05 to 2026-11-08,Poland,ICF World Championships 2026 – Owińska,canicross|bike jöring|scooter,,,ICF World Championship,upcoming,"ICF World Championship in Owińska, Poland; official federation sources confirm 5–8 Nov 2026.",https://afss.at/event/icf-world-championships-2026/,https://www.canicross.cz/frontend/web/zavazne-prihlasky-na-ms-icf-2026-5-8-11-2026-owinska-polsko/a10272,European federation sweep 2026-09-12
2026-11-07,UK,Blue Castle Run,canicross,11.3,,canicross category within trail race,upcoming / sold out,7-mile trail race with capped canicross entry and canicross prizes.,https://www.bluecastlerun.co.uk/blue-castle-run,https://dashboard.race-nation.co.uk/register/blue-castle-run/blue-castle-run-2026,web verification 2026-09-12
2026-11-07,France,Canicross de Gallician – Acte 2,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-07 to 2026-11-08,France,La Crocôtière #5 – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-07,UK,The Grim Reservoir Dogs,canicross,10.8,,dog race / canicross-friendly trail,upcoming,6.7-mile dog race around Fewston and Swinsty reservoirs; shorter 3.3-mile option excluded here.,https://www.itsgrimupnorthrunning.co.uk/e/the-grim-reservoir-dogs-11615,,web verification 2026-09-12
2026-11-07 to 2026-11-08,Germany,Visbek – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV-season dryland race with Mono classes.,https://vdsv.de/kalender/,https://www.zughunde-nds.de/events-und-ergebnisse/,VDSV Canicross import 2026-09-12
2026-11-08,France,Canicross d'Eschau,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-08,France,La Cani Haut-Marnaise – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-08,France,La Cani Haut-Marnaise – Canitrail,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-11-14,France,Canicross de la Vente des Vins des Hospices de Beaune,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-14,France,Canitrail des Châtaignes,canitrail,11,,dedicated dog class within trail event,upcoming,Official FFSLC calendar gives 14 November 2026; previously stored 15 November date corrected.,https://courses.ffslc.fr/calendar,https://www.finishers.com/en/event/trail-des-chataignes-de-cormeille-en-parisis,FFSLC correction 2026-09-12
2026-11-14,France,Canitrail d’Eguzon,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies this as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-11-14 to 2026-11-15,Germany,Ströhen – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV-season dryland race at Tierpark Ströhen.,https://vdsv.de/kalender/,https://www.zughunde-nds.de/events-und-ergebnisse/,VDSV Canicross import 2026-09-12
2026-11-15,France,Championnat de Normandie – 17e Canicross du Bois du Roule,canicross,not published,,FFSLC regional canicross championship,upcoming,Official FFSLC calendar lists Canicross court and long.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-11-19 to 2026-11-22,Germany,WSA WM Ströhen – Canicross / Mono,canicross,not published,,VDSV/WSA dryland Mono event,upcoming,Listed by VDSV as WSA World Championship dryland with Mono classes.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2026-11-21,France,Canicross Coucy la Ville,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-21 to 2026-11-22,Italy,CSEN Canicross Gattinara,canicross,,,CSEN Canicross championship race,upcoming,Official CSEN 2026/27 calendar; two-day ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2026-11-21 to 2026-11-22,Germany,Frankonia Open – Lauf an der Pegnitz – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV qualification/ranking race with Mono classes.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2026-11-22,France,Canicross de Maurepas – 2e édition,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-11-22,France,La Course Des Rives – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-11-22,France,Régional R6 – Canicross,canicross,not published,,FFSLC regional canicross event,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-11-28 to 2026-11-29,Germany,CapitalCross 2026 – Canicross,canicross,5.6,,VDSV German Championship Canicross,upcoming,Official venue confirms DM and approx. 5.6 km Canicross course.,https://vdsv.de/kalender/,https://www.spargelhof-klaistow.de/klaistower-schlittenhunderennen/,VDSV Canicross import 2026-09-12
2026-11-29,France,Canicross de la Côte d'Opale – Étaples-sur-Mer,canicross,not published,,dedicated FFSLC canicross,upcoming,Official FFSLC calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2026-12-05 to 2026-12-06,Germany,CapitalCross Mid Distance 2026 – Canicross,canicross,17|20,,Canicross mid-distance,upcoming,Official venue states 17–20 km and explicitly includes runners with one dog.,https://www.spargelhof-klaistow.de/klaistower-schlittenhund-rennen/,,web/VDSV ecosystem import 2026-09-12
2026-12-05 to 2026-12-06,France,La Montendraise – Canitrail,canitrail,not published (>9 per FFSLC rules),,dedicated FFSLC canitrail,upcoming,Official FFSLC calendar classifies this as Canitrail.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-12-05 to 2026-12-06,Germany,Mühlberg – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV qualification/ranking race with Mono classes.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2026-12-05 to 2026-12-06,Germany,Silberbergtrail Wingst – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV dryland race with Mono classes.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2026-12-05 to 2026-12-06,Germany,Straßdorfer Staufertrail – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,upcoming,VDSV dryland race with Mono classes.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2026-12-05 to 2026-12-06,France,Verrie Speed Dogs #2 – Canicross,canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-12-06,Italy,5° Romagna Race – Milano Marittima,canicross,,,CSEN Canicross championship race,upcoming,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2026-12-06,UK,ATW Grafham Water 10 Mile Canicross,canicross,16.1,100,dedicated canicross distance,upcoming,Dedicated 10-mile canicross start at 09:00 around Grafham Water.,https://www.timeoutdoors.com/events/atw-grafham-water-trail-canicross/10-mile-canicross,,web verification 2026-09-12
2026-12-06,Denmark,K9Runners Mariager – DCF Dog Series 2,canicross,,,Danish Canicross Federation series,upcoming,"Official DCF 2026/27 calendar, Mariager.",https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2026-12-06,UK,Maidstone Harriers Turkey Run – Canicross,canicross,12.1,,separate canicross event,upcoming,7.5-mile multi-terrain Turkey Run with a separate canicross race; one dog per runner.,https://maidstoneharriers.co.uk/events-community/the-turkey-run/,,web verification 2026-09-12
2026-12-06,Germany,MOUNTAINMAN Nikolaus-Trail Pommelsbrunn – Dogs-Trail,dogs-trail,12|17,370|530,own Dogs-Trail start window + separate ranking,upcoming,Dogs start in a separate afternoon time window; S and M only.,https://mountainman.de/trailrunning-events/hills/nikolaustrail-pommelsbrunn/dogs-trail/,,web verification 2026-09-11
2026-12-12,Netherlands,CCNL IJmuiden,canicross,,official CCNL race,announced,"Official CCNL calendar lists a Canicross race in IJmuiden, subject to permit.",https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12,
2026-12-12 to 2026-12-13,France,Cross & Dog de Candé – Canicross,canitrail|canicross,not published,,FFSLC canicross event,upcoming,Official FFSLC calendar lists adult Canicross alongside Canitrail.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-12-12 to 2026-12-13,France,Cross & Dog de Candé – Canitrail de Candé,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,upcoming,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2026-12-13,France,Championnat régional Occitanie – Red Paws Race #2 – Canicross,canicross,not published,,FFSLC regional canicross championship,upcoming,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2026-12-13,UK,Sherwood Pines Festive Trail Runs,canicross,10,,canicross-friendly trail with separate canicross start,upcoming,10 km trail is canicross friendly with a 09:30 canicross start; 5 km excluded here.,https://www.wilddeerevents.co.uk/e/sherwood-pines-festive-trail-runs-2026-14700,,web verification 2026-09-12
2026-12-20,Italy,CSEN Canicross Basovizza,canicross,,,CSEN Canicross championship race,upcoming,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-01-09,UK,Yorkshire Trail Runs – Harewood House,canicross|dog friendly trail,10|21.1,,canicross-friendly regular trail with separate starts,registration open,10 km and half marathon have separate canicross start times; 5 km excluded here.,https://www.wilddeerevents.co.uk/e/yorkshire-trail-runs-2027-harewood-house-14484,,web verification 2026-09-12
2027-01-10,Italy,8° Canicross Agrileisuretime – Terraia Spoleto,canicross,,,CSEN Canicross championship race,announced,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-01-10,France,Canicross de Cergy – L'île aux trésors 2027,canicross,not published,,dedicated FFSLC canicross,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-01-17,Netherlands,CCNL Bosschenhoofd,canicross|bike jöring|scooter,,,official CCNL race,announced,Official CCNL calendar; permit pending.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-01-23,Denmark,Danmarksmesterskab – DCF Dog Series 3,canicross,,,Danish national championship,announced,Official DCF calendar; hosted by DogRunDK in Hedeland.,https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2027-01-24,Italy,3° Canicross Città di Grosseto,canicross,,,CSEN Canicross championship race,announced,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-01-24,France,Canicross de l'XTREM – 5e édition,canicross,not published,,dedicated FFSLC canicross,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-01-24,Germany,MOUNTAINMAN Dogs-Winterloop Reit im Winkl,dogs-trail,7.5 km loops,110 per loop,dog-only event day,registration open,3-hour challenge; Sunday reserved for dog teams.,https://mountainman.de/trailrunning-events/alps/winterloop-reit-im-winkl/dogs-trail/,,web verification 2026-09-11
2027-01-24,Netherlands,Nederlands Kampioenschap CC/BJ/Step,canicross|bike jöring|scooter,,,CCNL national championship,announced,Official CCNL calendar lists the Dutch championship; venue to be announced.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-01-30 to 2027-01-31,France,CANI TROPHY FONTAINEBLEAU 2027 – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2027-01-30 to 2027-01-31,France,CANI TROPHY FONTAINEBLEAU 2027 – Canitrail,canitrail,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,announced,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2027-01-30 to 2027-01-31,France,Trophée Canin des Plages 2027 – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-06,UK,Limitless Trails – Trails & Tarmac Winter 12h BYU,canicross,4.2 mile loops up to 12h,,canicross-friendly endurance event,registration open,12-hour backyard format on 4.2-mile loops; organiser states its events are canicross friendly.,https://www.limitlesstrails.co.uk/trails-and-tarmac-byu-2,https://www.limitlesstrails.co.uk/canicross-menu,web verification 2026-09-12
2027-02-07,Italy,5° Canicross Mud&Glory – Beroide Spoleto,canicross,,,CSEN Canicross championship race,announced,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-02-07,France,Doggy Deûle Run #2 – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-07,France,La Canidé'forts – 4e édition – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC calendar lists adult Canicross.,https://courses.ffslc.fr/calendar-map,https://courses.ffslc.fr/calendar,FFSLC Canicross import 2026-09-12
2027-02-07,UK,Lakeland Paws – Whinlatter Tails South Side,canicross,10,400,dedicated canicross event,registration open,2026/27 series date is 7 Feb; South Side route offers a 10 km long option with about 400 m ascent.,https://lakelandpaws.com/events/,https://lakelandpaws.com/whinlatter-tails-south-side/,web verification 2026-09-12
2027-02-13 to 2027-02-14,France,5th Dirty Dog Race – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-13 to 2027-02-14,France,Les Courses de l'Étang – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-13 to 2027-02-19,France,Trophée des Lacs – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-14,Netherlands,CCNL Gasselte,canicross|bike jöring|scooter,,,official CCNL race,announced,Official CCNL calendar; permit pending.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-02-21,Italy,CSEN Canicross Cismon del Grappa,canicross,,,CSEN Canicross championship race,announced,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-02-27 to 2027-02-28,Germany,Schwabentrail – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,announced,VDSV calendar lists Schwabentrail as dryland race.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2027-02-28,Denmark,Canicross Østjylland – DCF Dog Series 4,canicross,,,Danish Canicross Federation series,announced,"Official DCF calendar, Aarhus.",https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2027-02-28,UK,Fountains Abbey Wild Trail Runs,canicross|dog friendly trail,10|21.1,,canicross-friendly regular trail,registration open,10 km and half marathon are canicross friendly; one controlled dog per runner. 5 km excluded here.,https://gotrail.run/en/race/fountains-abbey-wild-trail-runs,https://www.wilddeerevents.co.uk/,web verification 2026-09-12
2027-02-28,France,Interclub Manchois – Canicross,canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-02-28,UK,Run With K9s – Endurance Relay,canicross,2.5 km laps / 3h,,dedicated canicross endurance event,registration open,Solo or teams of up to 3 complete as many 2.5 km laps as possible in 3 hours.,https://www.runwithk9s.com/canicrossrelays,,web verification 2026-09-12
2027-03-06 to 2027-03-07,Italy,Campionato Nazionale Canicross CSEN 2027,canicross,,,CSEN national championship,announced,Official CSEN calendar; location still to be defined.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-03-06 to 2027-03-07,Netherlands,CCNL Helden,canicross|bike jöring|scooter,,,official CCNL race,announced,Official CCNL calendar; permit pending.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-03-06,UK,Limitless Trails – Beast of the Blacks,canicross|dog friendly trail,16.9|32.5|65,468|1360|2720,canicross-friendly mountain trail,registration open,"Official event page explicitly allows canicross on 10-, 20- and 40-mile routes.",https://www.limitlesstrails.co.uk/beast-of-the-blacks,,web verification 2026-09-12
2027-03-07,UK,Lakeland Paws – Tour de Grizedale,canicross,12|22,,dedicated canicross event,registration open,Official route page lists 12 km and 22 km / half-marathon canicross options.,https://lakelandpaws.com/grizedale-growl-tour-de-grizedale/,https://www.sientries.co.uk/event.php?elid=Y&event_id=17822,web verification 2026-09-12
2027-03-13 to 2027-03-14,Germany,Vulcanicross – Canicross,canicross,not published,,VDSV dryland Mono / Canicross,announced,VDSV calendar lists Vulcanicross as season-closing dryland Mono race.,https://vdsv.de/kalender/,,VDSV Canicross import 2026-09-12
2027-03-14,Denmark,Dirty Paws – DCF Dog Series 5,canicross,,,Danish Canicross Federation series,announced,"Official DCF calendar, Frederiksværk.",https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2027-03-20,UK,Grasmere Wild Trail Runs,canicross|dog friendly trail,10|21.1,,canicross-friendly regular trail with separate start,registration open,10 km and half marathon are canicross friendly with a separate dog start; 5 km excluded here.,https://www.wilddeerevents.co.uk/e/grasmere-wild-trail-runs-2027-14493,,web verification 2026-09-12
2027-03-21,Netherlands,CCNL Bruinisse,canicross|bike jöring|scooter,,,official CCNL race,announced,Official CCNL calendar; permit pending.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-03-21,Italy,CSEN Canicross Piana di Segni,canicross,,,CSEN Canicross championship race,announced,Official CSEN 2026/27 calendar; ICF 2027 selection race.,https://discipline.csencinofilia.it/calendario-gare-2027/,,European federation sweep 2026-09-12
2027-04-03 to 2027-04-04,France,Canicross du Lac des Sapins,canicross,not published,,dedicated FFSLC canicross,announced,Official FFSLC 2027 calendar event.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-04-03 to 2027-04-04,Sweden,Hapimag Vår Vaggeryd,canicross|bike jöring|scooter,,,Sweden BCD priority race,announced,Listed by Sweden BCD as priority selection race for ICF WC 2027.,https://www.swedenbcd.se/,,European federation sweep 2026-09-12
2027-04-03,Denmark,K9Runners Mariager – DCF Dog Series 6,canicross,,,Danish Canicross Federation series,announced,"Official DCF calendar, Mariager.",https://www.danskcanicross.dk/kalender,,European federation sweep 2026-09-12
2027-04-04,UK,Lakeland Paws – Tour de Whinlatter,canicross,12,,dedicated canicross event,registration open,9 km and 12 km offered; only the 12 km option is retained under the >=10 km rule.,https://www.sientries.co.uk/event.php?elid=Y&event_id=17842,https://lakelandpaws.com/events/,web verification 2026-09-12
2027-04-04,UK,Scone Palace Trail Runs,canicross|dog friendly trail,10|21.1,,canicross-friendly regular trail,registration open,10 km and half marathon are canicross friendly; one controlled dog per runner. 5 km excluded here.,https://www.wilddeerevents.co.uk/e/scone-palace-trail-runs-2026-14510,,web verification 2026-09-12
2027-04-10 to 2027-04-11,France,Canicross XtremTrail de Brameloup – Canicross,canitrail|canicross,not published,,FFSLC canicross event,announced,Official FFSLC 2027 calendar event; separate Canitrail row already exists in master data.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-04-10 to 2027-04-11,France,Canicross XtremTrail de Brameloup – Canitrail,canitrail|canicross,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,announced,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2027-04-11,Netherlands,CCNL Zundert,canicross|bike jöring|scooter,,,official CCNL race,announced,Official CCNL calendar.,https://www.canicrossnederland.nl/kalender20262027.html,,European federation sweep 2026-09-12
2027-04-17 to 2027-04-18,Sweden,Grönahög Open,canicross|bike jöring|scooter,,,Sweden BCD priority race,announced,Listed by Sweden BCD as priority selection race for ICF WC 2027.,https://www.swedenbcd.se/,,European federation sweep 2026-09-12
2027-04-17,UK,Limitless Trails – Beast of the Beacons,canicross|dog friendly trail,16|32.5|65,617|1286|2572,canicross-friendly mountain trail,registration open,"Official event page explicitly allows canicross on 10-, 20- and 40-mile routes.",https://www.limitlesstrails.co.uk/beast-of-the-beacons,,web verification 2026-09-12
2027-04-24 to 2027-04-25,France,4e Castel'Canicross de Blangy le Château – Canicross,canitrail|canicross,not published,,dedicated FFSLC canicross,announced,Official FFSLC 2027 calendar event; separate Canitrail row already exists in master data.,https://courses.ffslc.fr/calendar,,FFSLC Canicross import 2026-09-12
2027-04-24 to 2027-04-25,France,4eme Castel'Canicross de Blangy le Château – Canitrail,canitrail|canicross,not published (>9 per FFSLC rules),,FFSLC event with Canitrail,announced,Official FFSLC calendar lists Canitrail among the disciplines.,https://courses.ffslc.fr/calendar,https://ffslc.fr/wp-content/uploads/2025/06/REG-03.A21-Reglement-Canicross-Canitrail-Ski-joering.pdf,FFSLC verification 2026-09-12
2027-05-08,Germany,MOUNTAINMAN Nesselwang – Dogs-Trail,dogs-trail,21 + S-distance,1268 + S not captured,own dog starts + separate ranking,registration open,"M trail confirmed at 21 km / 1,268 hm; dog slots limited to about 150.",https://mountainman.de/trailrunning-events/alps/nesselwang/dogs-trail/,,web verification 2026-09-11
2027-05-15,France,Les Gendarmes et les Voleurs de Temps – CaniTrail,canitrail,11,221,dedicated canitrail,announced,"2027 event weekend is 15–16 May; canitrail page lists Saturday 15 May, 11 km.",https://gendarmes-et-voleurs.com/canitrail/,,web verification 2026-09-11
2027-07-10,UK,Limitless Trails – Tenacious Ten Endurance Challenge,canicross,4.18 km loops / 10h,324 per loop,canicross-friendly endurance event,registration open,10-hour technical loop challenge; organiser's canicross page states its events are canicross friendly.,https://www.limitlesstrails.co.uk/tenacious-ten,https://www.limitlesstrails.co.uk/canicross-menu,web verification 2026-09-12
